,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal_(Y/N),Time,Species,original_order,Continent
4148,Jul,1958.0,Unprovoked,usa,Florida,"Key West, Monroe County",,M,35.0,Y,,Unespcific,2155.0,North_America
4149,Jul,1958.0,Unprovoked,kenya,Coast Province,Port Kilindeni / Mombasa Harbor,Swim,M,21.0,Y,afternoon,Unespcific,2154.0,Unknown
4150,Jul,1958.0,Sea Disaster,pacific ocean,Between Hawaii & Wake Island,600 miles northwest of Honolulu,Rare_act.,M,27.32,Y,day-morning,Tiger shark,2153.0,Unknown
4151,Jul,1958.0,Sea Disaster,pacific ocean,Between Hawaii & Wake Island,600 miles northwest of Honolulu,Rare_act.,M,31.0,N,day-morning,Tiger shark,2152.0,Unknown
4152,Jul,1958.0,Provoked,usa,Florida,"Siesta Key, Sarasota County",Diving,M,20.0,N,afternoon,Tiger shark,2151.0,North_America
4153,Jul,1958.0,Unprovoked,papua new guinea,"New Ireland Province, Bismarck Archipelago","Maritzoan, east coast of Namatanai",Swim,M,38.0,Y,,Unespcific,2150.0,Oceania
4154,Jul,1958.0,Unprovoked,bahamas,Abaco Islands,North of Walkers Cay,Fish,M,36.0,N,afternoon,Tiger shark,2149.0,Central_America
4155,Jul,1958.0,Unprovoked,usa,Florida,"Sarasota, Sarasota County",,M,27.32,N,,Unespcific,2148.0,North_America
4156,Jun,1958.0,Provoked,usa,Florida,"Sanibel Island, Lee County",Seashore,M,59.0,N,afternoon,Tiger shark,2147.0,North_America
4157,Jun,1958.0,Unprovoked,usa,Florida,"Turtle Beach, Siesta Key, Sarasota County",Seashore,M,17.0,N,afternoon,Tiger shark,2146.0,North_America
4158,Jun,1958.0,Provoked,usa,Florida,Key Biscayne,Swim,M,27.32,N,,Unespcific,2145.0,North_America
4159,Jun,1958.0,Invalid,australia,Queensland,Green Island,Swim,F,27.32,,,Lemon shark,2144.0,Oceania
4160,Jun,1958.0,Invalid,south africa,KwaZulu-Natal,King Reef off Park Rynie,Fish,M,27.32,,,Lemon shark,2143.0,Africa
4161,Apr,1958.0,Provoked,usa,Florida,1 mile off Miami Beach,Diving,M,29.0,N,,Unespcific,2142.0,North_America
4162,Apr,1958.0,Unprovoked,taiwan,Taipei Hsien,Off Cape of Pi-tou,Diving,M,29.0,N,afternoon,Lemon shark,2141.0,Unknown
4163,Apr,1958.0,Unprovoked,south africa,KwaZulu-Natal,Uvongo,Rare_act.,F,28.0,Y,day-morning,Unespcific,2140.0,Africa
4164,Apr,1958.0,Unprovoked,south africa,KwaZulu-Natal,Port Edward,Swim,M,29.0,Y,afternoon,Unespcific,2139.0,Africa
4165,Apr,1958.0,Unprovoked,papua new guinea,Morobe Province,"Nasigilatu (Near Malasanga, Finschhafen, in the Huon Gulf)",Fish,M,27.32,N,,Unespcific,2138.0,Oceania
4166,Feb,1958.0,Invalid,australia,New South Wales,,Fish,M,21.0,,afternoon,Tiger shark,2137.0,Oceania
4167,Feb,1958.0,Provoked,usa,US Virgin Islands,Water Island,Fish,M,18.0,N,,Unespcific,2136.0,North_America
4168,Jan,1958.0,Unprovoked,australia,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,Fish,M,17.0,N,,Unespcific,2135.0,Oceania
4169,Jan,1958.0,Unprovoked,australia,New South Wales,Brunswick Heads,Surf,M,14.0,N,afternoon,Unespcific,2134.0,Oceania
4170,Jan,1958.0,Invalid,japan,Ibaraki Prefecture,Mito,,M,50.0,,,Tiger shark,2133.0,Unknown
4171,Jan,1958.0,Unprovoked,south africa,KwaZulu-Natal,Scotburgh,Swim,M,27.32,Y,day-morning,White shark,2132.0,Africa
4172,,1958.0,Provoked,tonga,Vava'u,Hunga Island,Fish,M,27.32,N,,Unespcific,2131.0,Unknown
4173,,1958.0,Provoked,samoa,South Pacific Ocean,North of Northeast Samoa,Rare_act.,F,27.32,N,,Unespcific,2130.0,Unknown
4174,,1958.0,Provoked,panama,Canal Zone,,Diving,M,27.32,N,,Tiger shark,2129.0,Unknown
4175,,1958.0,Unprovoked,papua new guinea,Louisiade Archipelago,"Brooker Island , Calvados Chain",,F,27.32,Y,,Unespcific,2128.0,Oceania
4176,,1958.0,Unprovoked,papua new guinea,West New Britain Province,"Bulu, Talasea",Fish,M,27.32,Y,,Unespcific,2127.0,Oceania
4177,,1958.0,Unprovoked,papua new guinea,West New Britain Province,"Kombe, Talasea",Fish,M,27.32,Y,,Lemon shark,2126.0,Oceania
4178,,1958.0,Unprovoked,papua new guinea,Morobe Province,"Korem, Finschhafen ",Fish,M,27.32,N,,Unespcific,2125.0,Oceania
4179,,1958.0,Boat,south africa,Western Cape Province,Plettenberg Bay,Fish,F,27.32,N,,White shark,2124.0,Africa
4180,,1958.0,Unprovoked,south africa,KwaZulu-Natal,MaKakatana River,Fish,M,27.32,Y,,Unespcific,2123.0,Africa
